method,budget,run_id,PU mAcc,PU overall,PU worst name,PU worst acc,PU class std,PU aeroplane,PU bicycle,PU bus,PU car,PU horse,PU knife,PU motorcycle,PU person,PU plant,PU skateboard,PU train,PU truck,FO mAcc,FO overall,FO worst name,FO worst acc,FO class std,FO aeroplane,FO bicycle,FO bus,FO car,FO horse,FO knife,FO motorcycle,FO person,FO plant,FO skateboard,FO train,FO truck
source_only,,20260819_113043_150389_TV,47.87828856547616,52.989817288943456,knife,4.433734939759036,25.525333328470204,54.223806911684036,29.179856115107913,49.40298507462686,74.76204211133545,65.70027712641227,4.433734939759036,76.38026224982747,21.575,67.77313695317652,47.04077159140728,77.59678942398489,6.470800288392214,48.21163249854462,53.278688524590166,knife,4.674698795180723,25.639932920201442,53.730115194733955,28.834532374100718,50.42643923240938,75.00240361503701,66.40375186527393,4.674698795180723,76.31124913733609,21.875,68.01494834029457,48.57518632178869,78.328611898017,6.3626532083633744
module_dense,full,20260819_113043_109480_TV,47.11262946627058,51.17895573048314,truck,0.6669069935111752,30.64277177379748,57.32309380142622,11.194244604316546,79.21108742004265,65.5513892894914,71.41334470262204,0.7710843373493976,86.99102829537613,15.3,39.261376126621236,68.52257781674705,69.14542020774316,0.6669069935111752,49.019478049739924,52.64858814183577,knife,0.0963855421686747,30.579339429120278,60.888645090510146,12.776978417266188,81.19402985074628,65.09950966253245,74.14197399275209,0.0963855421686747,86.30089717046239,26.0,37.942404924159156,72.90661990355107,70.561850802644,0.32444124008651765
full_dense,full,20260819_113043_130632_TV,70.43452291629619,69.03119809344985,truck,26.60418168709445,17.629594149938313,94.02084476138234,60.719424460431654,83.8592750533049,58.18671281607538,88.44596034960563,68.24096385542168,84.02346445824706,62.275,75.55506704770279,61.201227531784305,82.08215297450425,26.60418168709445,73.38901357946504,71.67436989961725,truck,26.35183850036049,17.647682498401505,94.84366428963247,64.23021582733813,84.79744136460555,61.513316027305066,90.38584523555745,77.06024096385542,86.40441683919944,67.9,79.5339635084634,64.62078035949145,83.02644003777148,26.35183850036049
module_random,0.0005,20260819_113039_410471_TV,47.86562849087512,52.986808213572125,knife,4.433734939759036,25.537410274964063,54.196379594075694,29.103117505995204,49.51670220326937,74.76204211133545,65.68606551552618,4.433734939759036,76.51253738210261,21.516666666666666,67.66322268630468,46.95309074967119,77.57318224740321,6.470800288392215,48.20060733374691,53.27267037384752,knife,4.674698795180723,25.645242062484577,53.72097275553117,28.709832134292565,50.68230277185501,74.98637951479024,66.43217508704612,4.674698795180723,76.37451115711985,21.908333333333335,67.85374074888254,48.502118953675286,78.26565942713252,6.296563326123528
module_random,0.001,20260819_113039_409926_TV,47.860698187180084,52.98620639849787,knife,4.433734939759036,25.542564146637112,54.17809471567014,29.016786570743406,49.68017057569296,74.75563247123675,65.65053648831095,4.433734939759036,76.57004830917874,21.5,67.59727412618157,46.923863802425835,77.5574441296821,6.464792117279501,48.18951270761962,53.26905948340194,knife,4.674698795180723,25.660832328361657,53.68440299872006,28.60431654676259,50.931058990760484,74.98958433483959,66.44638669793221,4.674698795180723,76.41476880607316,21.825,67.7438264820107,48.44366505918456,78.24992130941139,6.266522470559962
module_random,0.002,20260819_113039_410110_TV,47.85805157204707,52.99282636431477,knife,4.433734939759036,25.563318744277165,54.17809471567014,28.844124700239806,49.985785358919685,74.73960837098997,65.60790165565267,4.433734939759036,76.7540832758224,21.45,67.443394152561,46.86540990793512,77.54170601196097,6.452775775054074,48.17116776937698,53.27026311355047,knife,4.674698795180723,25.71257117143157,53.693545437922836,28.45083932853717,51.307746979388774,74.9959939749383,66.42506928160307,4.674698795180723,76.71382562686911,21.633333333333336,67.4946874771012,48.253689902089725,78.23418319169028,6.176399903869263
module_magnitude,0.0005,20260819_113043_415625_TV,47.87846191986451,52.99703906983462,knife,4.433734939759036,25.540361233998958,54.223806911684036,29.12230215827338,49.55223880597015,74.76204211133545,65.76422937539971,4.433734939759036,76.50103519668737,21.5,67.64123983293031,46.996931170539234,77.57318224740321,6.470800288392214,48.20027946589244,53.2696612984762,knife,4.674698795180723,25.647329423006322,53.730115194733955,28.719424460431654,50.72494669509595,74.9543313142967,66.51033894691963,4.674698795180723,76.38026224982747,21.8,67.81710265992525,48.53134590092065,78.23418319169028,6.326604181687094
module_magnitude,0.001,20260819_113043_294425_TV,47.87799591346529,52.99703906983462,knife,4.433734939759036,25.550348868511815,54.25123422929237,29.007194244604317,49.68017057569296,74.73319873089126,65.70027712641227,4.433734939759036,76.63906142167012,21.475,67.53132556605847,47.04077159140728,77.57318224740321,6.470800288392214,48.21701804417004,53.29132664114971,knife,4.674698795180723,25.677587322502646,53.70268787712562,28.60431654676259,50.95948827292111,74.9543313142967,66.59560861223619,4.674698795180723,76.57004830917874,21.7,67.66322268630468,48.61902674265673,78.23418319169028,6.326604181687094
module_magnitude,0.002,20260819_113610_190923_TV,47.875490431180886,53.00064996028021,knife,4.433734939759036,25.56473548757055,54.1963795940757,28.863309352517987,49.95735607675906,74.71396981059513,65.61500746109571,4.433734939759036,76.81159420289855,21.45,67.42141129918663,47.04077159140728,77.54957507082153,6.452775775054073,48.17951947794838,53.278688524590166,knife,4.674698795180723,25.732536267677336,53.70268787712562,28.431654676258994,51.23667377398721,74.97356023459282,66.44638669793221,4.674698795180723,76.8288474810214,21.5,67.55330841943284,48.31214379658045,78.25779036827196,6.2364816149963955
module_saliency,0.0005,20260819_113612_041746_TV,47.651972094630935,52.95009749404203,knife,4.433734939759036,25.701063608401448,53.81239714755897,28.402877697841728,49.68017057569296,75.81963272762235,65.16734171818375,4.433734939759036,77.05314009661836,21.1,66.84985711145306,46.16396317404647,77.26628895184136,6.0742609949531365,47.77169720962684,53.103560337979346,knife,4.674698795180723,25.879004820634442,53.04443225452551,27.712230215827336,50.66098081023454,76.30997019517353,65.76422937539971,4.674698795180723,77.27743271221532,21.075,66.25632007034513,46.909250328803154,77.88007554296506,5.695746214852199
